year,title,universalism,egalitarianism,progress
1979,Rocky II,0.46097560975609747,0.34647887323943666,0.3963855421686747
1987,Three Men and a Baby (1987) CtB,0.33157894736842114,0.2519230769230769,0.16304347826086957
2018,Solo.A.Star.Wars.Story.2018.720p.BluRay.x264.DTS-HDC,0.26875,0.1695652173913044,0.32151898734177226
2003,Chicago.2002.PROPER.1080p.BluRay.x264-LCHD.ENG,0.21538461538461534,0.07681159420289856,0.1493975903614458
1991,The.Silence.Of.The.Lambs.1991.BluRay.1080p.DTS.x264.dxva-EuReKA.ENG,-0.1555555555555556,-0.33414634146341465,-0.255
2020,Dolittle.2020.HDRip.800MB.x264-GalaxyRG,0.6239436619718309,0.5258064516129033,0.5882352941176471
1991,The.Addams.Family.1991.720p.BluRay.X264-AMIABLE,0.31818181818181807,0.175,0.06363636363636363
2018,Mission.Impossible.Fallout.2018.KORSUB.HDRip.x264-STUTTERSHIT,0.31636363636363635,0.17708333333333334,0.03599999999999999
1990,Teenage.Mutant.Ninja.Turtles.1990.1080p.BluRay.x264-HDCLASSICS.ENG,0.49347826086956526,0.36,0.39249999999999996
1985,Rambo Acorralado II (1985)1080p-Dual-momos-[.HDG].ENG,0.736,0.6363636363636362,0.5333333333333333
1983,Risky.Business.1983.PROPER.1080p.BluRay.x264-TFiN.ENG,0.08571428571428569,0.04285714285714285,0.2615384615384616
1999,Runaway Bride (1999) [BluRay] [1080p] [YTS.AM].eng,0.35487804878048784,0.37746478873239436,0.3576923076923077
1992,Under.Siege.1992.1080p.Bluray.x264-Q.ENG,-0.190566037735849,-0.1387755102040816,-0.03829787234042554
1980,Kramer.vs.Kramer.BluRay.1080p.DTS.x264.dxva-EuReKA.ENG,0.23448275862068965,0.13846153846153847,0.03518518518518519
2016,Rogue.One.2016.720p.BluRay.x264-SPARKS,0.6239436619718309,0.5451612903225806,0.6394366197183099
1995,Batman. Forever. 1995. 1080p. BluRay. x264-CULTHD. ENG,0.22399999999999998,0.09767441860465116,0.06363636363636362
2014,Captain.America.The.Winter.Soldier.2014.720p.BluRay.x264-SPARKS,0.37313432835820887,0.3234375,0.3476923076923077
1991,Terminator.2.Judgement.Day.Directors.Cut.1991.1080p.HDDVD.DTS.x264-hV.ENG,0.5282608695652175,0.4125,0.5042553191489362
1987,Beverly.Hills.Cop.II.1987.720p.BluRay.x264.DTS-WiKi.eng,0.12500000000000003,-0.02352941176470586,0.13333333333333333
1980,Ordinary.People.1980.720p.WEB-DL.AAC2.0.H.264-BS.eng,0.19999999999999998,0.15,0.22499999999999998
1998,Theres.Something.About.Mary.1998.Extended.1080p.BluRay.x264.Codres.ENG,0.21690140845070424,0.07868852459016394,0.029230769230769234
2019,Toy.Story.4.2019.720p.HDCAM-1XBET,0.5977272727272727,0.4714285714285714,0.4828947368421052
1985,Police.Academy.2.Their.First.Assignment.1985.720p.BluRay.FLAC.x264-CtrlHD,0.30930232558139537,0.2108108108108108,0.27619047619047615
2022,Minions.The.Rise.Of.Gru.2022.1080p.AMZN.WEB-DL.DDP5.1.H.264-CMRG,0.3777777777777778,0.2615384615384615,0.45833333333333337
2015,The.Hunger.Games.Mockingjay.Part.2.2015.720p.BluRay.x264-SPARKS,0.44426229508196724,0.4000000000000001,0.25555555555555554
1994,Speed.1994.BluRay.1080p.DTS.x264.dxva-EuReKA.ENG,0.08399999999999999,0.04888888888888886,0.14259259259259263
2004,The.Day.After.Tomorrow.2004.1080p.BluRay.x264-MUVI.eng,0.5354838709677419,0.43333333333333335,0.3684210526315789
